Country ,County_Province,Population
US,".Scott County, Arkansas","10,281"
US,".Searcy County, Arkansas","7,881"
US,".Sebastian County, Arkansas","127,827"
US,".Sevier County, Arkansas","17,007"
US,".Sharp County, Arkansas","17,442"
US,".Stone County, Arkansas","12,506"
US,".Union County, Arkansas","38,682"
US,".Van Buren County, Arkansas","16,545"
US,".Washington County, Arkansas","239,187"
US,".White County, Arkansas","78,753"
US,".Woodruff County, Arkansas","6,320"
US,".Yell County, Arkansas","21,341"
US,".Alameda County, California","1,671,329"
US,".Alpine County, California","1,129"
US,".Amador County, California","39,752"
US,".Butte County, California","219,186"
US,".Calaveras County, California","45,905"
US,".Colusa County, California","21,547"
US,".Contra Costa County, California","1,153,526"
US,".Del Norte County, California","27,812"
US,".El Dorado County, California","192,843"
US,".Fresno County, California","999,101"
US,".Glenn County, California","28,393"
US,".Humboldt County, California","135,558"
US,".Imperial County, California","181,215"
US,".Inyo County, California","18,039"
US,".Kern County, California","900,202"
US,".Kings County, California","152,940"
US,".Lake County, California","64,386"
US,".Lassen County, California","30,573"
US,".Los Angeles County, California","10,039,107"
US,".Madera County, California","157,327"
US,".Marin County, California","258,826"
US,".Mariposa County, California","17,203"
US,".Mendocino County, California","86,749"
US,".Merced County, California","277,680"
US,".Modoc County, California","8,841"
US,".Mono County, California","14,444"
US,".Monterey County, California","434,061"
US,".Napa County, California","137,744"
US,".Nevada County, California","99,755"
US,".Orange County, California","3,175,692"
US,".Placer County, California","398,329"
US,".Plumas County, California","18,807"
US,".Riverside County, California","2,470,546"
US,".Sacramento County, California","1,552,058"
US,".San Benito County, California","62,808"
US,".San Bernardino County, California","2,180,085"
US,".San Diego County, California","3,338,330"
US,".San Francisco County, California","881,549"
US,".San Joaquin County, California","762,148"
US,".San Luis Obispo County, California","283,111"
US,".San Mateo County, California","766,573"
US,".Santa Barbara County, California","446,499"
US,".Santa Clara County, California","1,927,852"
US,".Santa Cruz County, California","273,213"
US,".Shasta County, California","180,080"
US,".Sierra County, California","3,005"
US,".Siskiyou County, California","43,539"
US,".Solano County, California","447,643"
US,".Sonoma County, California","494,336"
US,".Stanislaus County, California","550,660"
US,".Sutter County, California","96,971"
US,".Tehama County, California","65,084"
US,".Trinity County, California","12,285"
US,".Tulare County, California","466,195"
US,".Tuolumne County, California","54,478"
US,".Ventura County, California","846,006"
US,".Yolo County, California","220,500"
US,".Yuba County, California","78,668"
US,".Adams County, Colorado","517,421"
US,".Alamosa County, Colorado","16,233"
US,".Arapahoe County, Colorado","656,590"
US,".Archuleta County, Colorado","14,029"
US,".Baca County, Colorado","3,581"
US,".Bent County, Colorado","5,577"
US,".Boulder County, Colorado","326,196"
US,".Broomfield County, Colorado","70,465"
US,".Chaffee County, Colorado","20,356"
US,".Cheyenne County, Colorado","1,831"
US,".Clear Creek County, Colorado","9,700"
US,".Conejos County, Colorado","8,205"
US,".Costilla County, Colorado","3,887"
US,".Crowley County, Colorado","6,061"
US,".Custer County, Colorado","5,068"
US,".Delta County, Colorado","31,162"
US,".Denver County, Colorado","727,211"
US,".Dolores County, Colorado","2,055"
US,".Douglas County, Colorado","351,154"
US,".Eagle County, Colorado","55,127"
US,".Elbert County, Colorado","26,729"
US,".El Paso County, Colorado","720,403"
US,".Fremont County, Colorado","47,839"
US,".Garfield County, Colorado","60,061"
US,".Gilpin County, Colorado","6,243"
US,".Grand County, Colorado","15,734"
US,".Gunnison County, Colorado","17,462"
US,".Hinsdale County, Colorado",820
US,".Huerfano County, Colorado","6,897"
US,".Jackson County, Colorado","1,392"
US,".Jefferson County, Colorado","582,881"
US,".Kiowa County, Colorado","1,406"
US,".Kit Carson County, Colorado","7,097"
US,".Lake County, Colorado","8,127"
US,".La Plata County, Colorado","56,221"
US,".Larimer County, Colorado","356,899"
US,".Las Animas County, Colorado","14,506"
US,".Lincoln County, Colorado","5,701"
US,".Logan County, Colorado","22,409"
US,".Mesa County, Colorado","154,210"
US,".Mineral County, Colorado",769
US,".Moffat County, Colorado","13,283"
US,".Montezuma County, Colorado","26,183"
US,".Montrose County, Colorado","42,758"
US,".Morgan County, Colorado","29,068"
US,".Otero County, Colorado","18,278"
US,".Ouray County, Colorado","4,952"
US,".Park County, Colorado","18,845"
US,".Phillips County, Colorado","4,265"
US,".Pitkin County, Colorado","17,767"
US,".Prowers County, Colorado","12,172"
US,".Pueblo County, Colorado","168,424"
US,".Rio Blanco County, Colorado","6,324"
US,".Rio Grande County, Colorado","11,267"
US,".Routt County, Colorado","25,638"
US,".Saguache County, Colorado","6,824"
US,".San Juan County, Colorado",728
US,".San Miguel County, Colorado","8,179"
US,".Sedgwick County, Colorado","2,248"
US,".Summit County, Colorado","31,011"
US,".Teller County, Colorado","25,388"
US,".Washington County, Colorado","4,908"
US,".Weld County, Colorado","324,492"
US,".Yuma County, Colorado","10,019"
US,".Fairfield County, Connecticut","943,332"
US,".Hartford County, Connecticut","891,720"
US,".Litchfield County, Connecticut","180,333"
US,".Middlesex County, Connecticut","162,436"
US,".New Haven County, Connecticut","854,757"
US,".New London County, Connecticut","265,206"
US,".Tolland County, Connecticut","150,721"
US,".Windham County, Connecticut","116,782"
US,".Kent County, Delaware","180,786"
US,".New Castle County, Delaware","558,753"
US,".Sussex County, Delaware","234,225"
US,".District of Columbia, District of Columbia","705,749"
US,".Alachua County, Florida","269,043"
US,".Baker County, Florida","29,210"
US,".Bay County, Florida","174,705"
US,".Bradford County, Florida","28,201"
US,".Brevard County, Florida","601,942"
US,".Broward County, Florida","1,952,778"
US,".Calhoun County, Florida","14,105"
US,".Charlotte County, Florida","188,910"
US,".Citrus County, Florida","149,657"
US,".Clay County, Florida","219,252"
US,".Collier County, Florida","384,902"
US,".Columbia County, Florida","71,686"
US,".DeSoto County, Florida","38,001"
US,".Dixie County, Florida","16,826"
US,".Duval County, Florida","957,755"
US,".Escambia County, Florida","318,316"
US,".Flagler County, Florida","115,081"
US,".Franklin County, Florida","12,125"
US,".Gadsden County, Florida","45,660"
US,".Gilchrist County, Florida","18,582"
US,".Glades County, Florida","13,811"
US,".Gulf County, Florida","13,639"
US,".Hamilton County, Florida","14,428"
US,".Hardee County, Florida","26,937"
US,".Hendry County, Florida","42,022"
US,".Hernando County, Florida","193,920"
US,".Highlands County, Florida","106,221"
US,".Hillsborough County, Florida","1,471,968"
US,".Holmes County, Florida","19,617"
US,".Indian River County, Florida","159,923"
US,".Jackson County, Florida","46,414"
US,".Jefferson County, Florida","14,246"
US,".Lafayette County, Florida","8,422"
US,".Lake County, Florida","367,118"
US,".Lee County, Florida","770,577"
US,".Leon County, Florida","293,582"
US,".Levy County, Florida","41,503"
US,".Liberty County, Florida","8,354"
US,".Madison County, Florida","18,493"
US,".Manatee County, Florida","403,253"
US,".Marion County, Florida","365,579"
US,".Martin County, Florida","161,000"
US,".Miami-Dade County, Florida","2,716,940"
US,".Monroe County, Florida","74,228"
US,".Nassau County, Florida","88,625"
US,".Okaloosa County, Florida","210,738"
US,".Okeechobee County, Florida","42,168"
US,".Orange County, Florida","1,393,452"
US,".Osceola County, Florida","375,751"
US,".Palm Beach County, Florida","1,496,770"
US,".Pasco County, Florida","553,947"
US,".Pinellas County, Florida","974,996"
US,".Polk County, Florida","724,777"
US,".Putnam County, Florida","74,521"
US,".St. Johns County, Florida","264,672"
US,".St. Lucie County, Florida","328,297"
US,".Santa Rosa County, Florida","184,313"
US,".Sarasota County, Florida","433,742"
US,".Seminole County, Florida","471,826"
US,".Sumter County, Florida","132,420"
US,".Suwannee County, Florida","44,417"
US,".Taylor County, Florida","21,569"
US,".Union County, Florida","15,237"
US,".Volusia County, Florida","553,284"
US,".Wakulla County, Florida","33,739"
US,".Walton County, Florida","74,071"
US,".Washington County, Florida","25,473"
US,".Appling County, Georgia","18,386"
US,".Atkinson County, Georgia","8,165"
US,".Bacon County, Georgia","11,164"
US,".Baker County, Georgia","3,038"
US,".Baldwin County, Georgia","44,890"
US,".Banks County, Georgia","19,234"
US,".Barrow County, Georgia","83,240"
US,".Bartow County, Georgia","107,738"
US,".Ben Hill County, Georgia","16,700"
US,".Berrien County, Georgia","19,397"
US,".Bibb County, Georgia","153,159"
US,".Bleckley County, Georgia","12,873"
US,".Brantley County, Georgia","19,109"
US,".Brooks County, Georgia","15,457"
US,".Bryan County, Georgia","39,627"
US,".Bulloch County, Georgia","79,608"
US,".Burke County, Georgia","22,383"
US,".Butts County, Georgia","24,936"
US,".Calhoun County, Georgia","6,189"
US,".Camden County, Georgia","54,666"
US,".canadadler County, Georgia","10,803"
US,".Carroll County, Georgia","119,992"
US,".Catoosa County, Georgia","67,580"
US,".Charlton County, Georgia","13,392"
US,".Chatham County, Georgia","289,430"
US,".Chattahoochee County, Georgia","10,907"
US,".Chattooga County, Georgia","24,789"
US,".Cherokee County, Georgia","258,773"
US,".Clarke County, Georgia","128,331"
US,".Clay County, Georgia","2,834"
US,".Clayton County, Georgia","292,256"
US,".Clinch County, Georgia","6,618"
US,".Cobb County, Georgia","760,141"
US,".Coffee County, Georgia","43,273"
US,".Colquitt County, Georgia","45,600"
US,".Columbia County, Georgia","156,714"
US,".Cook County, Georgia","17,270"
US,".Coweta County, Georgia","148,509"
US,".Crawford County, Georgia","12,404"
US,".Crisp County, Georgia","22,372"
US,".Dade County, Georgia","16,116"
US,".Dawson County, Georgia","26,108"
US,".Decatur County, Georgia","26,404"
US,".DeKalb County, Georgia","759,297"
US,".Dodge County, Georgia","20,605"
US,".Dooly County, Georgia","13,390"
US,".Dougherty County, Georgia","87,956"
US,".Douglas County, Georgia","146,343"
US,".Early County, Georgia","10,190"
US,".Echols County, Georgia","4,006"
US,".Effingham County, Georgia","64,296"
US,".Elbert County, Georgia","19,194"
US,".Emanuel County, Georgia","22,646"
US,".Evans County, Georgia","10,654"
US,".Fannin County, Georgia","26,188"
US,".Fayette County, Georgia","114,421"
US,".Floyd County, Georgia","98,498"
US,".Forsyth County, Georgia","244,252"
US,".Franklin County, Georgia","23,349"
US,".Fulton County, Georgia","1,063,937"
US,".Gilmer County, Georgia","31,369"
US,".Glascock County, Georgia","2,971"
US,".Glynn County, Georgia","85,292"
US,".Gordon County, Georgia","57,963"
US,".Grady County, Georgia","24,633"
US,".Greene County, Georgia","18,324"
US,".Gwinnett County, Georgia","936,250"
US,".Habersham County, Georgia","45,328"
US,".Hall County, Georgia","204,441"
US,".Hancock County, Georgia","8,457"
US,".Haralson County, Georgia","29,792"
US,".Harris County, Georgia","35,236"
US,".Hart County, Georgia","26,205"
US,".Heard County, Georgia","11,923"
US,".Henry County, Georgia","234,561"
US,".Houston County, Georgia","157,863"
US,".Irwin County, Georgia","9,416"
US,".Jackson County, Georgia","72,977"
US,".Jasper County, Georgia","14,219"
US,".Jeff Davis County, Georgia","15,115"
US,".Jefferson County, Georgia","15,362"
US,".Jenkins County, Georgia","8,676"
US,".Johnson County, Georgia","9,643"
US,".Jones County, Georgia","28,735"
US,".Lamar County, Georgia","19,077"
US,".Lanier County, Georgia","10,423"
US,".Laurens County, Georgia","47,546"
US,".Lee County, Georgia","29,992"
US,".Liberty County, Georgia","61,435"
US,".Lincoln County, Georgia","7,921"
US,".Long County, Georgia","19,559"
US,".Lowndes County, Georgia","117,406"
US,".Lumpkin County, Georgia","33,610"
US,".McDuffie County, Georgia","21,312"
US,".McIntosh County, Georgia","14,378"
US,".Macon County, Georgia","12,947"
US,".Madison County, Georgia","29,880"
US,".Marion County, Georgia","8,359"
US,".Meriwether County, Georgia","21,167"
US,".Miller County, Georgia","5,718"
US,".Mitchell County, Georgia","21,863"
US,".Monroe County, Georgia","27,578"
US,".Montgomery County, Georgia","9,172"
US,".Morgan County, Georgia","19,276"
US,".Murray County, Georgia","40,096"
US,".Muscogee County, Georgia","195,769"
US,".Newton County, Georgia","111,744"
US,".Oconee County, Georgia","40,280"
US,".Oglethorpe County, Georgia","15,259"
US,".Paulding County, Georgia","168,667"
US,".Peach County, Georgia","27,546"
US,".Pickens County, Georgia","32,591"
US,".Pierce County, Georgia","19,465"
US,".Pike County, Georgia","18,962"
US,".Polk County, Georgia","42,613"
US,".Pulaski County, Georgia","11,137"
US,".Putnam County, Georgia","22,119"
US,".Quitman County, Georgia","2,299"
US,".Rabun County, Georgia","17,137"
US,".Randolph County, Georgia","6,778"
US,".Richmond County, Georgia","202,518"
US,".Rockdale County, Georgia","90,896"
US,".Schley County, Georgia","5,257"
US,".Screven County, Georgia","13,966"
US,".Seminole County, Georgia","8,090"
US,".Spalding County, Georgia","66,703"
US,".Stephens County, Georgia","25,925"
US,".Stewart County, Georgia","6,621"
US,".Sumter County, Georgia","29,524"
US,".Talbot County, Georgia","6,195"
US,".Taliaferro County, Georgia","1,537"
US,".Tattnall County, Georgia","25,286"
US,".Taylor County, Georgia","8,020"
US,".Telfair County, Georgia","15,860"
US,".Terrell County, Georgia","8,531"
US,".Thomas County, Georgia","44,451"
US,".Tift County, Georgia","40,644"
US,".Toombs County, Georgia","26,830"
US,".Towns County, Georgia","12,037"
US,".Treutlen County, Georgia","6,901"
US,".Troup County, Georgia","69,922"
US,".Turner County, Georgia","7,985"
US,".Twiggs County, Georgia","8,120"
US,".Union County, Georgia","24,511"
US,".Upson County, Georgia","26,320"
US,".Walker County, Georgia","69,761"
US,".Walton County, Georgia","94,593"
US,".Ware County, Georgia","35,734"
US,".Warren County, Georgia","5,254"
US,".Washington County, Georgia","20,374"
US,".Wayne County, Georgia","29,927"
US,".Webster County, Georgia","2,607"
US,".Wheeler County, Georgia","7,855"
US,".White County, Georgia","30,798"
US,".Whitfield County, Georgia","104,628"
US,".Wilcox County, Georgia","8,635"
US,".Wilkes County, Georgia","9,777"
US,".Wilkinson County, Georgia","8,954"
US,".Worth County, Georgia","20,247"
US,".Hawaii County, Hawaii","201,513"
US,".Honolulu County, Hawaii","974,563"
US,".Kalawao County, Hawaii",86
US,".Kauai County, Hawaii","72,293"
US,".Maui County, Hawaii","167,417"
US,".Ada County, Idaho","481,587"
US,".Adams County, Idaho","4,294"
US,".Bannock County, Idaho","87,808"
US,".Bear Lake County, Idaho","6,125"
US,".Benewah County, Idaho","9,298"
US,".Bingham County, Idaho","46,811"
US,".Blaine County, Idaho","23,021"
US,".Boise County, Idaho","7,831"
US,".Bonner County, Idaho","45,739"
US,".Bonneville County, Idaho","119,062"
US,".Boundary County, Idaho","12,245"
US,".Butte County, Idaho","2,597"
US,".Camas County, Idaho","1,106"
US,".canadayon County, Idaho","229,849"
US,".Caribou County, Idaho","7,155"
US,".Cassia County, Idaho","24,030"
US,".Clark County, Idaho",845
US,".Clearwater County, Idaho","8,756"
US,".Custer County, Idaho","4,315"
US,".Elmore County, Idaho","27,511"
US,".Franklin County, Idaho","13,876"
US,".Fremont County, Idaho","13,099"
US,".Gem County, Idaho","18,112"
US,".Gooding County, Idaho","15,179"
US,".Idaho County, Idaho","16,667"
US,".Jefferson County, Idaho","29,871"
US,".Jerome County, Idaho","24,412"
US,".Kootenai County, Idaho","165,697"
US,".Latah County, Idaho","40,108"
US,".Lemhi County, Idaho","8,027"
US,".Lewis County, Idaho","3,838"
US,".Lincoln County, Idaho","5,366"
US,".Madison County, Idaho","39,907"
US,".Minidoka County, Idaho","21,039"
US,".Nez Perce County, Idaho","40,408"
US,".Oneida County, Idaho","4,531"
US,".Owyhee County, Idaho","11,823"
US,".Payette County, Idaho","23,951"
US,".Power County, Idaho","7,681"
US,".Shoshone County, Idaho","12,882"
US,".Teton County, Idaho","12,142"
US,".Twin Falls County, Idaho","86,878"
US,".Valley County, Idaho","11,392"
US,".Washington County, Idaho","10,194"
US,".Adams County, Illinois","65,435"
US,".Alexander County, Illinois","5,761"
US,".Bond County, Illinois","16,426"
US,".Boone County, Illinois","53,544"
US,".Brown County, Illinois","6,578"
US,".Bureau County, Illinois","32,628"
US,".Calhoun County, Illinois","4,739"
US,".Carroll County, Illinois","14,305"
US,".Cass County, Illinois","12,147"
US,".Champaign County, Illinois","209,689"
US,".Christian County, Illinois","32,304"
US,".Clark County, Illinois","15,441"
US,".Clay County, Illinois","13,184"
US,".Clinton County, Illinois","37,562"
US,".Coles County, Illinois","50,621"
US,".Cook County, Illinois","5,150,233"
US,".Crawford County, Illinois","18,667"
US,".Cumberland County, Illinois","10,766"
US,".DeKalb County, Illinois","104,897"
US,".De Witt County, Illinois","15,638"
US,".Douglas County, Illinois","19,465"
US,".DuPage County, Illinois","922,921"
US,".Edgar County, Illinois","17,161"
US,".Edwards County, Illinois","6,395"
US,".Effingham County, Illinois","34,008"
US,".Fayette County, Illinois","21,336"
US,".Ford County, Illinois","12,961"
US,".Franklin County, Illinois","38,469"
US,".Fulton County, Illinois","34,340"
US,".Gallatin County, Illinois","4,828"
US,".Greene County, Illinois","12,969"
US,".Grundy County, Illinois","51,054"
US,".Hamilton County, Illinois","8,116"
US,".Hancock County, Illinois","17,708"
US,".Hardin County, Illinois","3,821"
US,".Henderson County, Illinois","6,646"
US,".Henry County, Illinois","48,913"
US,".Iroquois County, Illinois","27,114"
US,".Jackson County, Illinois","56,750"
US,".Jasper County, Illinois","9,610"
US,".Jefferson County, Illinois","37,684"
US,".Jersey County, Illinois","21,773"
US,".Jo Daviess County, Illinois","21,235"
US,".Johnson County, Illinois","12,417"
US,".Kane County, Illinois","532,403"
US,".Kankakee County, Illinois","109,862"
US,".Kendall County, Illinois","128,990"
US,".Knox County, Illinois","49,699"
US,".Lake County, Illinois","696,535"
US,".LaSalle County, Illinois","108,669"
US,".Lawrence County, Illinois","15,678"
US,".Lee County, Illinois","34,096"
US,".Livingston County, Illinois","35,648"
US,".Logan County, Illinois","28,618"
US,".McDonough County, Illinois","29,682"
US,".McHenry County, Illinois","307,774"
US,".McLean County, Illinois","171,517"
US,".Macon County, Illinois","104,009"
US,".Macoupin County, Illinois","44,926"
US,".Madison County, Illinois","262,966"
US,".Marion County, Illinois","37,205"
US,".Marshall County, Illinois","11,438"
US,".Mason County, Illinois","13,359"
US,".Massac County, Illinois","13,772"
US,".Menard County, Illinois","12,196"
US,".Mercer County, Illinois","15,437"
US,".Monroe County, Illinois","34,637"
US,".Montgomery County, Illinois","28,414"
US,".Morgan County, Illinois","33,658"
US,".Moultrie County, Illinois","14,501"
US,".Ogle County, Illinois","50,643"
US,".Peoria County, Illinois","179,179"
US,".Perry County, Illinois","20,916"
US,".Piatt County, Illinois","16,344"
US,".Pike County, Illinois","15,561"
US,".Pope County, Illinois","4,177"
US,".Pulaski County, Illinois","5,335"
US,".Putnam County, Illinois","5,739"
US,".Randolph County, Illinois","31,782"
US,".Richland County, Illinois","15,513"
US,".Rock Island County, Illinois","141,879"
US,".St. Clair County, Illinois","259,686"
US,".Saline County, Illinois","23,491"
US,".Sangamon County, Illinois","194,672"
US,".Schuyler County, Illinois","6,768"
US,".Scott County, Illinois","4,951"
US,".Shelby County, Illinois","21,634"
US,".Stark County, Illinois","5,342"
US,".Stephenson County, Illinois","44,498"
US,".Tazewell County, Illinois","131,803"
US,".Union County, Illinois","16,653"
US,".Vermilion County, Illinois","75,758"
US,".Wabash County, Illinois","11,520"
US,".Warren County, Illinois","16,844"
US,".Washington County, Illinois","13,887"
US,".Wayne County, Illinois","16,215"
US,".White County, Illinois","13,537"
US,".Whiteside County, Illinois","55,175"
US,".Will County, Illinois","690,743"
US,".Williamson County, Illinois","66,597"
US,".Winnebago County, Illinois","282,572"
US,".Woodford County, Illinois","38,459"
US,".Adams County, Indiana","35,777"
US,".Allen County, Indiana","379,299"
US,".Bartholomew County, Indiana","83,779"
US,".Benton County, Indiana","8,748"
US,".Blackford County, Indiana","11,758"
US,".Boone County, Indiana","67,843"
US,".Brown County, Indiana","15,092"
US,".Carroll County, Indiana","20,257"
US,".Cass County, Indiana","37,689"
US,".Clark County, Indiana","118,302"
US,".Clay County, Indiana","26,225"
US,".Clinton County, Indiana","32,399"
US,".Crawford County, Indiana","10,577"
US,".Daviess County, Indiana","33,351"
US,".Dearborn County, Indiana","49,458"
US,".Decatur County, Indiana","26,559"
US,".DeKalb County, Indiana","43,475"
US,".Delaware County, Indiana","114,135"
US,".Dubois County, Indiana","42,736"
US,".Elkhart County, Indiana","206,341"
US,".Fayette County, Indiana","23,102"
US,".Floyd County, Indiana","78,522"
US,".Fountain County, Indiana","16,346"
US,".Franklin County, Indiana","22,758"
US,".Fulton County, Indiana","19,974"
US,".Gibson County, Indiana","33,659"
US,".Grant County, Indiana","65,769"
US,".Greene County, Indiana","31,922"
US,".Hamilton County, Indiana","338,011"
US,".Hancock County, Indiana","78,168"
US,".Harrison County, Indiana","40,515"
US,".Hendricks County, Indiana","170,311"
US,".Henry County, Indiana","47,972"
US,".Howard County, Indiana","82,544"
US,".Huntington County, Indiana","36,520"
US,".Jackson County, Indiana","44,231"
